Supplier type;Supplier;Invoice type;Invoice number;Invoice owner;Amount
;Pharetra Felis Eget Corp.;Employee declaration;124269;;40000
;Et Magna Praesent LLC;Employee declaration;124270;;130000
;Purus Maecenas Libero Limited;Employee declaration;124271;;120000
;Purus Maecenas Libero Limited;Employee declaration;124272;;170000
;Purus Maecenas Libero Limited;Employee declaration;124273;;700000
;Purus Maecenas Libero Limited;Employee declaration;124274;;930000
;Proin Nisl Foundation;Employee declaration;124275;;380000
;Bibendum Consulting;Employee declaration;124276;;40000
;Consectetuer Cursus Et Consulting;Employee declaration;124277;;100000
;Consectetuer Cursus Et Consulting;Employee declaration;124278;;500000
;Quis Arcu Industries;Employee declaration;124279;;110000
;Quis Arcu Industries;Employee declaration;124280;;20000
;Non Lacinia At Ltd;Employee declaration;124281;;40000
;Eleifend Cras Sed Consulting;Employee declaration;124282;;240000
;Lobortis Class LLP;Employee declaration;124283;;90000
Machinery;Ac Ipsum Phasellus Ltd;Small invoice;124286;Knox Gonzalez;5830000
Machinery;Ac Ipsum Phasellus Ltd;High-level invoice;124294;Knox Gonzalez;126955000
Machinery;Ac Ipsum Phasellus Ltd;Medium invoice;124295;Knox Gonzalez;77448000
Machinery;Ac Ipsum Phasellus Ltd;Medium invoice;124296;Knox Gonzalez;15627000
Machinery;Ac Ipsum Phasellus Ltd;Medium invoice;124297;Knox Gonzalez;20982000
Machinery;Ac Ipsum Phasellus Ltd;Medium invoice;124300;Knox Gonzalez;17215000
Machinery;Ac Ipsum Phasellus Ltd;Small invoice;124301;Knox Gonzalez;1067000
;Ut Limited;Small invoice;124483;Rebecca Love;1168000
Machinery;Ac Ipsum Phasellus Ltd;Small invoice;124302;Knox Gonzalez;2078000
Machinery;Ac Ipsum Phasellus Ltd;Small invoice;124303;Knox Gonzalez;1258000
Machinery;Ac Ipsum Phasellus Ltd;Small invoice;124304;Knox Gonzalez;1442000
Machinery;Ac Ipsum Phasellus Ltd;Small invoice;124307;Knox Gonzalez;3980000
Machinery;Ac Ipsum Phasellus Ltd;Small invoice;124308;Knox Gonzalez;1212000
;Lacus Etiam Associates;Employee declaration;124352;;90000
;Lacus Etiam Associates;Employee declaration;124353;;70000
;Metus Sit Amet Associates;Employee declaration;124354;;800000
;Malesuada PC;Employee declaration;124355;;100000
;Lacus Etiam Associates;Employee declaration;124392;;70000
;Nibh Sit Limited;Employee declaration;124394;;30000
;Neque LLP;Employee declaration;124395;;190000
;Mauris Sit Amet Associates;Employee declaration;124396;;230000
;Vulputate Dui LLC;Employee declaration;124397;;60000
;Ut Sagittis Ltd;Employee declaration;124398;;520000
;Vitae Semper Egestas Consulting;Employee declaration;124399;;480000
;Adipiscing Fringilla LLP;Employee declaration;124400;;590000
;Metus Vitae Corporation;Employee declaration;124401;;100000
;Mus Proin Company;Employee declaration;124402;;380000
;Phasellus PC;Employee declaration;124403;;40000
;Metus Vitae Corporation;Employee declaration;124404;;150000
;Posuere Vulputate Lacus Limited;Employee declaration;124405;;400000
;Pharetra Inc.;Employee declaration;124406;;720000
;Elit Pede Malesuada Incorporated;Employee declaration;124407;;240000
;Quis Institute;Employee declaration;124409;;590000
;Sodales Purus Consulting;Employee declaration;124410;;510000
;Ac Arcu Nunc Limited;Small invoice;124412;Rebecca Love;2510000
;Sociis Industries;Small invoice;124414;Hunter Garcia;3777000
;Libero Integer In Corp.;Small invoice;124415;Rebecca Love;8400000
;Lacinia Mattis Foundation;Employee declaration;124416;;160000
;Lacinia Vitae Limited;Employee declaration;124417;;640000
;Orci Incorporated;Employee declaration;124456;;170000
;Parturient Montes Nascetur Industries;Employee declaration;124457;;320000
;Est Tempor Bibendum PC;Employee declaration;124458;;570000
;Sem Nulla PC;Small invoice;124459;Medge Patel;6910000
;Nibh Vulputate Mauris Consulting;Small invoice;124460;Cullen Combs;1170000
;Lacus Institute;Small invoice;124461;Medge Patel;1870000
;Nam Limited;Small invoice;124462;Medge Patel;290000
;Adipiscing LLP;Small invoice;124464;Rebecca Love;3080000
;Vulputate Ullamcorper Institute;Medium invoice;124465;Macy Hurst;13911000
;Blandit Mattis Incorporated;Small invoice;124467;Tanner Wiggins;4998000
;Posuere Cubilia Institute;Small invoice;124468;Fiona Luna;1687000
;At Arcu Vestibulum LLC;Small invoice;124469;Fiona Luna;1413000
;Metus Eu PC;Medium invoice;124470;Fiona Luna;16862000
;Ultricies Institute;Small invoice;124472;Lars Walker;8770000
;Metus In Lorem Incorporated;Small invoice;124473;Dennis Robertson;3310000
;Metus In Lorem Incorporated;Small invoice;124474;Tanner Wiggins;3113000
;Tempus Scelerisque Institute;Small invoice;124477;Hunter Garcia;1338000
;Elit Sed Institute;Small invoice;124478;Rebecca Love;1592000
;Fusce Aliquet Institute;Small invoice;124479;Rebecca Love;4740000
;Mus Ltd;Small invoice;124480;Hunter Garcia;7445000
;Arcu Vestibulum Company;Small invoice;124481;Rebecca Love;3840000
;Vel Ltd;Small invoice;124482;Rebecca Love;2340000
;Fusce Aliquet Institute;Small invoice;124484;Rebecca Love;1600000
;Erat Volutpat Nulla Inc.;Small invoice;124485;Hunter Garcia;1054000
;Libero Integer In Corp.;Small invoice;124486;Hunter Garcia;2880000
;Erat Volutpat Nulla Inc.;Small invoice;124487;Hunter Garcia;8240000
;Sit Corporation;Employee declaration;124488;;60000
;Ante Vivamus LLC;Employee declaration;124489;;740000
;Urna Vivamus Corporation;Employee declaration;124490;;590000
;Libero Morbi Accumsan Associates;Employee declaration;124491;;100000
;Libero Morbi Accumsan Associates;Employee declaration;124492;;140000
;Libero Morbi Accumsan Associates;Employee declaration;124493;;80000
;Pellentesque Ut Ipsum Industries;Employee declaration;124494;;940000
;Mauris Elit Dictum Industries;Employee declaration;124495;;100000
;Fusce Diam Inc.;Employee declaration;124496;;120000
;Cursus Purus Inc.;Employee declaration;124497;;220000
;Posuere Vulputate Lacus Ltd;Employee declaration;124498;;590000
;Aliquet Foundation;Employee declaration;124499;;370000
;At Egestas A Ltd;Employee declaration;124500;;20000
;Nonummy Industries;Employee declaration;124501;;120000
;Mattis Semper Incorporated;Employee declaration;124502;;100000
;Pharetra Sed Limited;Employee declaration;124582;;200000
;Odio Aliquam PC;Employee declaration;124583;;200000
;Ac Institute;Employee declaration;124584;;240000
;Pede PC;Employee declaration;124585;;1260000
;Massa Non Industries;Employee declaration;124586;;250000
;Dictum Limited;Employee declaration;124587;;470000
;Sodales Purus Industries;Employee declaration;124588;;50000
;Etiam Company;Employee declaration;124589;;90000
;Fusce Diam Inc.;Employee declaration;124591;;40000
;A Neque Nullam PC;Employee declaration;124592;;170000
;Ante Dictum Cursus Inc.;Employee declaration;124593;;160000
;Ante Dictum Cursus Inc.;Employee declaration;124594;;500000
;Aenean Eget LLP;Employee declaration;124595;;150000
;Erat Limited;Employee declaration;124596;;2370000
;Erat Limited;Employee declaration;124597;;470000
;Nunc Ac Industries;Employee declaration;124598;;40000
;Orci Ltd;Employee declaration;124599;;40000
;Eget Laoreet LLC;Employee declaration;124600;;380000
;Morbi Consulting;Employee declaration;124601;;430000
;Ornare In Faucibus Institute;Employee declaration;124602;;260000
;Nunc Foundation;Employee declaration;124603;;90000
;Nunc Foundation;Employee declaration;124604;;330000
;Quisque Purus Sapien Corporation;Employee declaration;124605;;1710000
;Quisque Purus Sapien Corporation;Employee declaration;124606;;190000
;Lacinia Mattis Foundation;Small invoice;124607;Cullen Combs;2900000
;Lacinia Mattis Foundation;Small invoice;124608;Medge Patel;1200000
;Vulputate Ullamcorper Institute;Small invoice;124611;Macy Hurst;5900000
;Vulputate Ullamcorper Institute;Small invoice;124612;Macy Hurst;5220000
;Vulputate Ullamcorper Institute;Small invoice;124613;Macy Hurst;2900000
;Vulputate Ullamcorper Institute;Small invoice;124614;Macy Hurst;690000
;Vulputate Ullamcorper Institute;Small invoice;124616;Macy Hurst;1861000
;Vulputate Ullamcorper Institute;Small invoice;124617;Macy Hurst;2020000
;Accumsan Sed Inc.;Small invoice;124618;;5360000
;Tempus LLC;Small invoice;124620;Alan Boyer;1428000
;Malesuada Id LLP;Medium invoice;124622;;10206000
;Velit Dui Semper Incorporated;Small invoice;124623;;7140000
;Lorem Ac Risus Limited;Small invoice;124624;Clio Butler;3830000
Technical equipment;In Consectetuer Ipsum Limited;Medium invoice;124625;Alan Boyer;13381000
;Et Rutrum Institute;Small invoice;124626;;1630000
;In Lorem Donec LLC;Employee declaration;124820;;760000
;Ac Foundation;Small invoice;124627;Gary Le;1450000
;In Cursus Et Limited;Small invoice;124871;Medge Patel;4721000
;Ac Foundation;Small invoice;124628;Gary Le;5890000
;Lectus Pede Inc.;Small invoice;124630;Hunter Garcia;2040000
;Lectus Pede Inc.;Small invoice;124631;Hunter Garcia;3620000
;Libero Integer In Corp.;Small invoice;124632;Rebecca Love;5990000
;Non Luctus Sit Corporation;Preferred supplier;124633;Rebecca Love;1736000
;Aliquam Enim Nec Industries;Small invoice;124634;Rebecca Love;5040000
;Aliquam Enim Nec Industries;Small invoice;124635;Rebecca Love;6630000
;Quam Vel Sapien LLP;Small invoice;124636;Rebecca Love;6129000
;Non Luctus Sit Corporation;Preferred supplier;124637;Hunter Garcia;4549000
;Odio PC;Small invoice;124638;Dennis Robertson;2580000
;Erat Associates;High-level invoice;124639;Lars Walker;514612000
;Erat Associates;Small invoice;124640;Lars Walker;9259000
;Nec Leo Morbi Consulting;Employee declaration;124641;;660000
;Mus Corporation;Employee declaration;124683;;720000
;Mus Corporation;Employee declaration;124684;;580000
;Velit Industries;Employee declaration;124685;;150000
;Rutrum Magna LLC;Small invoice;124686;Cullen Combs;15000
;Nec Euismod In Company;Small invoice;124687;Medge Patel;500000
;Enim Suspendisse LLP;Small invoice;124688;Rebecca Love;980000
;Enim Suspendisse LLP;Small invoice;124689;Medge Patel;1040000
;Enim Suspendisse LLP;Small invoice;124690;Medge Patel;440000
;Enim Suspendisse LLP;Small invoice;124691;Medge Patel;160000
;Enim Suspendisse LLP;Small invoice;124692;Cullen Combs;160000
;Cursus Foundation;Small invoice;124693;Medge Patel;550000
;Lectus A LLP;Small invoice;124697;Lars Walker;930000
;Non Institute;Small invoice;124708;Medge Patel;1450000
;Purus Mauris Limited;Small invoice;124737;Rebecca Love;950000
;Amet Foundation;Small invoice;124738;Rebecca Love;5291000
;Lectus Pede Inc.;Small invoice;124739;Rebecca Love;1540000
;Fusce Aliquet Institute;Small invoice;124740;Rebecca Love;3950000
;Vulputate Ullamcorper Institute;Small invoice;124741;Dennis Robertson;610000
;Tempus Scelerisque Institute;Small invoice;124742;Dennis Robertson;5830000
;Tempus Scelerisque Institute;Small invoice;124743;Dennis Robertson;5470000
;Pede Foundation;Medium invoice;124744;Lars Walker;35959000
;Pede Foundation;Medium invoice;124745;Lars Walker;39221000
;Pede Foundation;Small invoice;124746;Lars Walker;1305000
;Pede Foundation;Small invoice;124747;Lars Walker;1869000
;Nulla At Institute;Preferred supplier;124748;Lars Walker;4655000
Office supplies;Amet Ltd;Small invoice;124750;Medge Patel;430000
Office supplies;Euismod LLC;Small invoice;124751;Medge Patel;1950000
Office supplies;Euismod LLC;Small invoice;124752;Medge Patel;1680000
;Lectus Ante Dictum Limited;Small invoice;124753;Medge Patel;630000
Office supplies;Euismod LLC;Small invoice;124754;Medge Patel;570000
;Ac Arcu Nunc Limited;Small invoice;124755;Medge Patel;2130000
;Ornare In Faucibus Institute;Small invoice;124756;Medge Patel;2844000
Office supplies;Amet Ltd;Small invoice;124757;Medge Patel;220000
;Dui Semper Et PC;Small invoice;124758;Rebecca Love;8520000
;Curae Phasellus Ornare Company;Small invoice;124759;Medge Patel;4760000
;Maecenas LLP;Small invoice;124760;Medge Patel;1720000
;Quam Limited;Employee declaration;124810;;110000
;Ac Ipsum Phasellus Industries;Employee declaration;124811;;350000
;Elementum Sem Foundation;Employee declaration;124812;;130000
;Adipiscing Lobortis Risus LLC;Small invoice;122144;Rebecca Love;300000
;Enim Corporation;Employee declaration;124813;;270000
;Et Malesuada Fames Consulting;Employee declaration;124814;;700000
;Sed Auctor Odio LLC;Employee declaration;124815;;550000
;Dui Ltd;Employee declaration;124816;;230000
;Sed Diam Consulting;Employee declaration;124817;;640000
;Lorem Ipsum Inc.;Employee declaration;124818;;650000
;Ut Nulla Cras Corporation;Employee declaration;124819;;110000
;Scelerisque LLC;Employee declaration;124821;;440000
;Dictum Corporation;Employee declaration;124822;;680000
;Nibh Corp.;Employee declaration;124823;;160000
;Amet Institute;Employee declaration;124824;;120000
;Eleifend Nunc Ltd;Employee declaration;124825;;20000
;Euismod Est Arcu Associates;Employee declaration;124826;;80000
;Fringilla Cursus Purus PC;Employee declaration;124827;;50000
;Eleifend Industries;Employee declaration;124828;;70000
;In Mi Inc.;Employee declaration;124829;;70000
;Sed Leo Cras Consulting;Employee declaration;124830;;70000
;Dolor Foundation;Employee declaration;124831;;60000
;Eu Metus Associates;Employee declaration;124833;;210000
;Sed Leo Cras Associates;Small invoice;124834;Rebecca Love;200000
;Dolor Egestas Corp.;Small invoice;124835;Rebecca Love;130000
Office supplies;Amet Ltd;Small invoice;124836;Rebecca Love;410000
;Nisi Nibh Lacinia Institute;Small invoice;124837;Rebecca Love;30000
;Dolor Donec Fringilla Industries;Small invoice;124838;Rebecca Love;1026000
;Dolor Donec Fringilla Industries;Small invoice;124839;Cullen Combs;6160000
;Dolor Donec Fringilla Industries;Small invoice;124840;Rebecca Love;1117000
;Nonummy Ac Feugiat Corporation;Small invoice;124841;Cullen Combs;2031000
;Maecenas Mi Felis Inc.;Small invoice;124842;Rebecca Love;111000
;Sodales Mauris Blandit LLP;Small invoice;124843;Medge Patel;9790000
;In Faucibus Orci Industries;Medium invoice;124844;Fiona Luna;10495000
;In Faucibus Orci Industries;Medium invoice;124845;Fiona Luna;11424000
;In Faucibus Orci Industries;Small invoice;124846;Fiona Luna;8139000
;Vivamus Sit Amet Inc.;Medium invoice;124848;Gary Le;17334000
;Mollis Lectus Pede Ltd;Small invoice;124851;Fiona Luna;9506000
;Risus Odio Industries;Small invoice;124853;Fiona Luna;8806000
;Eget LLC;Medium invoice;124858;Fiona Luna;18207000
;Nullam Limited;Small invoice;124859;Fiona Luna;2142000
;Justo Proin Non Limited;Medium invoice;124860;Alan Boyer;16138000
;Risus Odio Industries;Medium invoice;124862;Fiona Luna;20706000
;Ac Orci Corporation;Small invoice;124863;Rebecca Love;1320000
Technical equipment;Ligula Ltd;Small invoice;124864;Kyla Jackson;4843000
Technical equipment;Ligula Ltd;Medium invoice;124865;Kyla Jackson;98936000
Technical equipment;Ligula Ltd;Medium invoice;124866;Kyla Jackson;12367000
;Arcu Vestibulum Ut Company;Small invoice;124870;Cullen Combs;2450000
;Sociis Natoque Ltd;Employee declaration;126680;;500000
;Sagittis Augue Eu LLC;Small invoice;124872;Cullen Combs;260000
;Nisl Maecenas Company;Small invoice;124874;;1188000
;Velit Dui Company;Small invoice;124875;Lars Walker;3189000
;Velit Dui Company;Small invoice;124876;Lars Walker;1118000
;Cursus Nunc LLP;Employee declaration;124944;;620000
;Augue Ac Ipsum Inc.;Small invoice;124945;Cullen Combs;1060000
;Ornare Sagittis Felis Inc.;Small invoice;124946;Cullen Combs;1888000
;Ornare Sagittis Felis Inc.;Medium invoice;124947;Medge Patel;10506000
;Aliquet Metus Urna Inc.;Small invoice;124948;Rebecca Love;1370000
;Aliquet Metus Urna Inc.;Small invoice;124949;Rebecca Love;2360000
;Lacinia Mattis Foundation;Small invoice;124951;Cullen Combs;1200000
;Mi Lacinia Ltd;Small invoice;124952;Rebecca Love;4100000
;Mi Lacinia Ltd;Small invoice;124953;Cullen Combs;1909000
;Ridiculus Foundation;Small invoice;124954;Rebecca Love;102000
;Vitae Posuere Limited;Small invoice;124963;Rebecca Love;3271000
;Vitae Posuere Limited;Small invoice;124964;Hunter Garcia;3600000
Technical equipment;Ligula Ltd;Small invoice;124965;Kyla Jackson;1432000
;Aliquam PC;Small invoice;124966;Kyla Jackson;4780000
;Enim Suspendisse LLP;Small invoice;124967;Rebecca Love;2490000
;Felis Ullamcorper LLP;Small invoice;124968;Rebecca Love;4151000
;Molestie Tortor Nibh PC;Small invoice;124969;Cullen Combs;410000
;Non Institute;Small invoice;124970;Cullen Combs;1450000
;Non Institute;Small invoice;124971;Rebecca Love;1350000
;Non Institute;Small invoice;124972;Cullen Combs;1350000
;Non Institute;Small invoice;124973;Rebecca Love;1350000
;Non Institute;Small invoice;124974;Rebecca Love;1350000
;Non Institute;Small invoice;124975;Rebecca Love;1350000
;Non Institute;Small invoice;124976;Cullen Combs;1350000
;Non Institute;Small invoice;124977;Cullen Combs;1350000
;Non Institute;Small invoice;124978;Rebecca Love;1350000
;Mi Pede PC;Employee declaration;124980;;210000
Technical equipment;In Consectetuer Ipsum Limited;Medium invoice;124982;Alan Boyer;15529000
;Egestas Aliquam Ltd;Small invoice;124983;Alan Boyer;860000
Technical equipment;In Consectetuer Ipsum Limited;Small invoice;124984;Alan Boyer;3451000
Technical equipment;In Consectetuer Ipsum Limited;Small invoice;124985;Alan Boyer;2023000
Technical equipment;In Consectetuer Ipsum Limited;Small invoice;124986;Alan Boyer;9520000
Technical equipment;In Consectetuer Ipsum Limited;Small invoice;124987;Alan Boyer;1725000
;Mauris Company;Small invoice;124988;Fiona Luna;1148000
;Mauris Company;Medium invoice;124989;Fiona Luna;59537000
;Quis Diam Corp.;Medium invoice;124990;Fiona Luna;15511000
;Sagittis Lobortis Mauris Foundation;Small invoice;124992;Fiona Luna;2195000
;Nonummy Corporation;Small invoice;124993;Fiona Luna;6545000
;Mauris Company;Small invoice;124994;Fiona Luna;8160000
;Mauris Company;Medium invoice;124995;Fiona Luna;86347000
;Et Company;Small invoice;124996;Fiona Luna;9740000
;Iaculis Corporation;Small invoice;124997;Fiona Luna;1523000
;Nonummy Corporation;Medium invoice;124998;Fiona Luna;62832000
;Leo Vivamus Nibh Company;Small invoice;124999;;3986000
;Tristique Aliquet Foundation;Small invoice;125000;Macy Hurst;2578000
;Ac Ltd;Small invoice;125027;Cullen Combs;1190000
;Est Ac Incorporated;Small invoice;125028;Cullen Combs;300000
;Metus Corporation;Small invoice;125029;Medge Patel;120000
;A Ltd;Medium invoice;125030;Cullen Combs;15211000
;Non Institute;Small invoice;125031;Cullen Combs;1350000
;Non Institute;Small invoice;125032;Cullen Combs;1350000
;Non Institute;Small invoice;125033;Medge Patel;1350000
;Non Institute;Small invoice;125034;Cullen Combs;1350000
;Non Institute;Small invoice;125035;Cullen Combs;1350000
;Non Institute;Small invoice;125036;Cullen Combs;2700000
;Proin Non Massa Foundation;Small invoice;125037;Rebecca Love;134000
;Id Enim Curabitur Corporation;Small invoice;125038;Cullen Combs;1210000
;Id Enim Curabitur Corporation;Small invoice;125039;Rebecca Love;2730000
;Et Institute;Small invoice;125052;Kyla Jackson;1780000
;Nec Institute;Small invoice;125054;Kyla Jackson;2320000
;Nisl Maecenas Company;Small invoice;125056;Lars Walker;964000
;Gravida Inc.;Small invoice;125057;Lars Walker;4533000
;Purus LLC;Small invoice;125058;Lars Walker;2900000
;Lorem Lorem Luctus Ltd;Partner;125059;Lars Walker;2975000
;Ultricies Institute;Small invoice;125060;Lars Walker;8770000
;Ut Nulla Cras Corp.;Employee declaration;125061;;170000
Office supplies;Amet Ltd;Employee declaration;125062;;540000
;Nec Inc.;Employee declaration;125063;;1220000
;Mi Aliquam Gravida Consulting;Employee declaration;125064;;390000
;Aenean Eget Magna Inc.;Employee declaration;125065;;250000
;At Inc.;Employee declaration;125067;;250000
;Ullamcorper Velit In Consulting;Employee declaration;125068;;70000
;Vehicula Pellentesque Tincidunt Inc.;Employee declaration;125069;;210000
;Metus Eu PC;Employee declaration;125070;;250000
;Metus Eu PC;Employee declaration;125071;;430000
;Amet Orci Ut Associates;Employee declaration;125072;;280000
;Lorem Tristique Aliquet LLP;Employee declaration;125073;;190000
;Lorem PC;Employee declaration;125074;;20000
;Non Corp.;Employee declaration;125076;;210000
;Non Corp.;Employee declaration;125077;;930000
;Non Corp.;Employee declaration;125078;;120000
;Tempus Risus Corporation;Employee declaration;125079;;300000
;Egestas Duis Company;Employee declaration;125084;;850000
;Donec Elementum Lorem Associates;Employee declaration;125085;;80000
;Nullam Industries;Employee declaration;125086;;60000
;Nullam Feugiat PC;Employee declaration;125087;;310000
;Ad Litora Institute;Employee declaration;125089;;1180000
;Eu Eleifend Ltd;Employee declaration;125090;;1560000
;Pretium Et Inc.;Employee declaration;125091;;700000
;Risus Corporation;Employee declaration;125092;;290000
;Ipsum Suspendisse Sagittis Industries;Employee declaration;125093;;250000
;Pede Blandit Congue Industries;Employee declaration;125094;;8170000
;Lorem PC;Employee declaration;125095;;1140000
;Lorem PC;Employee declaration;125096;;50000
;Lorem PC;Employee declaration;125097;;500000
;Risus LLC;Employee declaration;125098;;750000
;Risus LLC;Employee declaration;125099;;200000
;Risus LLC;Employee declaration;125100;;230000
;Ac Institute;Employee declaration;125101;;300000
;Ac Institute;Employee declaration;125102;;300000
;At Velit Corporation;Employee declaration;125103;;400000
;At Velit Corporation;Employee declaration;125104;;550000
;Eu Corp.;Employee declaration;125105;;160000
;Eu Corp.;Employee declaration;125106;;1310000
;Id Sapien Cras Inc.;Employee declaration;125107;;1140000
;Pharetra Sed Foundation;Small invoice;125111;Hunter Garcia;8270000
;Pharetra Sed Foundation;Small invoice;125112;Hunter Garcia;8100000
;Pharetra Sed Foundation;Small invoice;125113;Hunter Garcia;9880000
;Pharetra Sed Foundation;Small invoice;125114;Hunter Garcia;7680000
;Fusce Aliquet Institute;Small invoice;125115;Hunter Garcia;6426000
;Ac Orci Corporation;Small invoice;125116;Hunter Garcia;8780000
;Tempus Scelerisque Institute;Small invoice;125117;Hunter Garcia;5950000
;Magna Tellus Industries;Small invoice;125118;Hunter Garcia;6284000
;Nibh Enim Foundation;Partner;125119;Medge Patel;30000
;Nibh Enim Foundation;Partner;125141;Rebecca Love;30000
;Proin Ultrices Duis Consulting;Small invoice;125142;Cullen Combs;6700000
;Molestie Tortor Nibh PC;Small invoice;125143;Medge Patel;2500000
;Massa Rutrum Company;Small invoice;125144;Cullen Combs;9275000
;Felis Corporation;Small invoice;125145;Cullen Combs;60000
;Augue Ac Foundation;Small invoice;125146;Cullen Combs;1311000
;Augue Ac Foundation;Small invoice;125147;Cullen Combs;1361000
;Fringilla Mi Lacinia LLC;Small invoice;125148;Cullen Combs;1829000
;Ridiculus Foundation;Small invoice;125149;Cullen Combs;1640000
;Justo Nec Ante Consulting;Small invoice;125150;Cullen Combs;5360000
;Commodo At Libero Limited;Small invoice;125151;Hunter Garcia;2240000
;Suspendisse Company;Small invoice;125152;Cullen Combs;6990000
;Non Institute;Small invoice;125153;Cullen Combs;930000
;Maecenas Mi Felis Inc.;Small invoice;125154;Cullen Combs;7800000
;Dolor Donec Fringilla Industries;Small invoice;125155;Rebecca Love;4620000
Office supplies;Pellentesque Tincidunt Tempus Institute;Small invoice;125156;Rebecca Love;2093000
;Sed Limited;Small invoice;125157;Rebecca Love;1500000
;Senectus Et LLP;Small invoice;125158;Rebecca Love;130000
;In Limited;Small invoice;125159;Rebecca Love;101000
;Nec Institute;Small invoice;125160;Kyla Jackson;112000
;Est Mollis Foundation;Small invoice;125285;Dennis Robertson;8909000
Machinery;Proin LLC;Preferred supplier;125161;Lars Walker;162748000
;Euismod Ac PC;Employee declaration;125162;;420000
;Ornare Sagittis Felis Inc.;Medium invoice;125163;Rebecca Love;13781000
;Velit Egestas Lacinia Company;Small invoice;125164;Rebecca Love;4080000
;Sed Incorporated;Small invoice;125165;Rebecca Love;230000
;Magna Tellus Faucibus LLC;Small invoice;125166;Cullen Combs;330000
;Tempus Non Ltd;Small invoice;125167;Rebecca Love;13000
;Nibh Enim Foundation;Partner;125168;Cullen Combs;150000
;Nibh Enim Foundation;Partner;125169;Medge Patel;30000
;Augue Scelerisque Corporation;Small invoice;125170;Cullen Combs;7490000
;A Ltd;Small invoice;125171;Rebecca Love;300000
;Non Institute;Small invoice;125172;Medge Patel;1357000
;Metus In Lorem Incorporated;Small invoice;125173;Rebecca Love;5270000
;Metus In Lorem Incorporated;Small invoice;125174;Rebecca Love;1520000
;Proin Mi Aliquam Foundation;Small invoice;125175;Rebecca Love;2580000
;Elit Sed Company;Medium invoice;125181;Hunter Garcia;16191000
;Dictum Sapien Institute;Small invoice;125182;Dennis Robertson;7190000
;Vestibulum Foundation;Small invoice;125183;Cullen Combs;3260000
;Vel PC;Partner;125184;Rebecca Love;1597000
;Vel PC;Partner;125185;Rebecca Love;4401000
;Vel PC;Partner;125186;Rebecca Love;1710000
;Vel PC;Partner;125187;Rebecca Love;4900000
;Vel PC;Partner;125188;Rebecca Love;1158000
;Vel PC;Partner;125189;Rebecca Love;3780000
;Vel PC;Partner;125190;Rebecca Love;950000
;Vel PC;Partner;125191;Rebecca Love;1160000
;Vel PC;Partner;125192;Rebecca Love;4306000
;Donec Fringilla LLC;Small invoice;125193;Rebecca Love;1017000
;Non Institute;Small invoice;125194;Rebecca Love;520000
;Mollis Duis Industries;Small invoice;125195;Cullen Combs;135000
Office supplies;Euismod LLC;Small invoice;125196;Cullen Combs;620000
;In Foundation;Small invoice;125198;Rebecca Love;900000
;Pharetra Quisque Institute;Small invoice;125199;Rebecca Love;1000000
;Non Institute;Small invoice;125202;Fiona Luna;3895000
;Fusce Aliquam Limited;Small invoice;125204;Clio Butler;3790000
;Mauris Company;Small invoice;125205;;7290000
;Vestibulum Mauris Incorporated;Small invoice;125206;Fiona Luna;5712000
;Ante Ipsum Primis Limited;Medium invoice;125207;Fiona Luna;40506000
;Eget LLC;Medium invoice;125208;Fiona Luna;16386000
;Eget LLC;Medium invoice;125209;Fiona Luna;16386000
;Sed Molestie Sed Incorporated;Small invoice;125210;Alan Boyer;9953000
;Lectus Pede Inc.;Small invoice;125219;Hunter Garcia;656000
;Ac Mattis Associates;Employee declaration;125220;;500000
;Et Magna Praesent LLP;Small invoice;125221;Rebecca Love;55000
;Id Enim Curabitur Corporation;Small invoice;125222;Rebecca Love;2220000
;Ornare Sagittis Felis Inc.;Small invoice;125223;Cullen Combs;350000
;Tortor At Risus Limited;Small invoice;125224;Rebecca Love;2000000
;Non Institute;Small invoice;125225;Cullen Combs;1350000
;Lectus Pede Inc.;Small invoice;125227;Dennis Robertson;5045000
;Mauris Company;Small invoice;125228;Fiona Luna;7290000
;Elit Pede Malesuada Associates;Small invoice;125229;Macy Hurst;380000
;Velit Egestas Lacinia Company;Small invoice;125247;Rebecca Love;4080000
;Metus Vivamus Euismod Industries;Employee declaration;124447;;1800000
;Felis Corporation;Small invoice;125248;Cullen Combs;30000
Office supplies;Amet Ltd;Small invoice;125249;Cullen Combs;310000
;Leo Vivamus Nibh Company;Small invoice;125250;Alan Boyer;3986000
;Tellus Lorem Eu Associates;Small invoice;125257;Rebecca Love;1796000
;Nunc Sed Corporation;Small invoice;125258;Cullen Combs;6390000
;Nunc Sed Corporation;Small invoice;125259;Cullen Combs;6390000
;Nibh Enim Foundation;Partner;125260;Rebecca Love;130000
;Nibh Enim Foundation;Partner;125261;Rebecca Love;200000
;Pellentesque Associates;Small invoice;125262;Rebecca Love;9044000
;Non Dui Industries;Small invoice;125263;Hunter Garcia;5350000
;Nec Institute;Small invoice;125264;Fiona Luna;590000
;Nec Institute;Small invoice;125265;Fiona Luna;310000
;Aliquam Arcu Corp.;Small invoice;125266;Alan Boyer;6679000
Technical equipment;In Consectetuer Ipsum Limited;Small invoice;125268;Alan Boyer;5652000
;Ac Risus Industries;Medium invoice;125269;Alan Boyer;19099000
Technical equipment;In Consectetuer Ipsum Limited;Small invoice;125270;Alan Boyer;1071000
Technical equipment;In Consectetuer Ipsum Limited;Medium invoice;125271;Alan Boyer;69674000
